NAME	control1	control2	control3	control4	CT10A1.A	CT10A2.A	CT10A.B	BRCA1.51	BRCA1.52	BRCA1.53	BRCA1.54	Rad51.41	Rad51.42	Rad51.43	Rad51.44	Brit.2A2	Brit.2B	Brit.2C	Brit.2D
C20orf19	261.36	232.31	212.36	244.81	188.12	197.69	290.81	711.68	913.91	773.74	834.86	1285.55	1387.11	1287.53	1171.77	588.85	592.23	561.26	632.14
C20orf82	344.46	353.5	342.76	321.35	227.27	230.93	414.2	91.63	87.26	96.32	84.92	132.3	123.55	119.29	121.07	129.55	123.66	153.15	149.49
C4orf34	853.88	883.78	779.96	937.39	680.06	621.65	719.57	3047.43	3436.48	3309.72	3462.46	2449.68	2296.28	2184.33	2331.6	1519.63	1659.86	1603.41	1711.95
C5orf38	105.16	90.74	107.71	109.87	91.18	108.53	94.99	217.17	217.03	219.56	203.57	336.3	333.2	315.32	331.4	290.91	255.25	259.55	234.32
C6orf48	438	385.46	480.35	444.9	252.6	242.07	197.37	1956.27	2352.44	2518.17	2369.76	1736.55	1894.8	2450.83	2159.38	1095.59	835.67	914.93	881.94
CBLB	485.15	509.89	540.37	525.28	359.66	378.46	359.77	1101.2	1164.74	1068.25	1259.62	969.74	973.65	912.52	975.58	974.13	1138.07	1053.49	969.97
CCDC138	281.41	337.7	266.75	261.72	284.53	247.43	183.93	129.73	87.83	119.65	109.41	113.23	107.22	96.8	93.35	110.9	111.31	123.53	113.07
CCDC92	730.76	654.28	728.91	641.34	525.78	491.16	787.91	1210.07	1496.05	1271.1	1205.19	1473.87	1521.52	1387.11	1251.47	1792.46	1527.46	1492.41	1368.53
CCNA2	2495.01	2793.34	2602.74	2707.16	2380.88	2184.48	1727.62	907.01	713.21	819.59	768.95	667.68	584.99	615.91	578.99	477.28	498.23	491.54	592.23
CCNB1	3631.24	3461.33	3262.3	3054.55	3135.53	3325.96	3206.32	1551.32	1468.5	1434.43	1551.32	1306.74	1243.63	1149.63	1282.88	1124.55	1288.39	1134.48	1349.49
CCNB1IP1	648.25	645.74	686.31	668.13	532.71	529.1	692.78	1432.7	1460.3	1387.58	1406.83	1746.6	1863.27	1764.51	1746.6	2141.72	2280.73	2154.97	2280.73
CCNE1	378.44	387.24	388.32	366.46	321.82	291.18	268.62	126.64	114.18	107.14	123.74	127.7	125.58	112.46	115.11	143.78	135.91	149.46	146.12
CD68	498.75	471.44	410.19	405.59	467.17	494.52	514.99	2037.1	1980.33	1917.42	1988.79	1067.58	996.82	1170.87	1080.28	2046.43	1769.76	1936.38	1628.48
CDC7	760.13	846.35	760.89	792.89	923.14	930.24	763.82	253.62	183.31	225.56	238.66	265.74	241.69	258.34	251.41	211.49	233.77	236.51	234.95
CDCA2	599.63	675.09	631.31	577.97	638.2	559	509.69	301.55	234.79	255.47	271.39	290.94	226.85	219.74	215.69	181.53	188.25	200.99	176.24
CDCA3	1268.36	1348.3	1278.29	1141.8	1494.52	1492.41	1268.85	442.78	404.88	402.14	378.33	347.3	338.36	317.86	322.87	505.88	518.62	454.69	522.25
CDCA5	2394.67	2625.5	2490.33	2243.93	2783.92	2587.88	2396.38	804.89	656.16	752.68	778.01	549.89	490.88	526	493.52	1131.24	1140.58	1153.38	1329.55
CDCA7	4777.28	5005.98	4604.29	4486.32	3443.58	3311.12	1770.64	761.57	587.04	679.9	621.1	512.87	429.47	433.11	396.1	598.98	563.83	603.22	578.95
CDCA8	754.14	902.32	761.78	798.36	1201.55	1095.59	1077.13	459.84	393.05	468.28	403.79	336.22	311.61	303.96	317.63	466.29	412.46	420.62	464.25
CDKN1C	122.24	105.33	126.97	143.78	80.55	89.19	111.03	282.44	300.28	289.07	309.38	312.19	336.14	341.06	306.68	626.87	509.15	540.99	549.61
CENPJ	669.8	734.99	661.27	624.31	633.88	670.92	627.15	221.9	193.13	193.01	212.95	224.06	207.7	217.12	218.49	238.66	292.29	272.43	305.88
CHAF1A	582.06	626.71	551.3	527.98	397.77	384.15	436.66	197.39	182.9	179.45	198.56	146.54	145.23	143.08	125.52	180.58	171.3	168.22	154.5
CHAF1B	1013.9	964.76	915.38	904.61	725.05	705.21	607.27	313.7	334.15	308.15	329.29	262.97	248.04	247.15	241.05	252.92	252.42	250.61	248.47
CHEK1	1275.46	1466.01	1300.74	1282.88	973.67	904.58	753.59	474.87	353.97	437.14	427.14	385.89	399.61	392.13	328.34	420.33	437.61	455.16	442.28
CHRNA5	447.94	497	439.85	422.2	307.88	302.35	181.92	112.77	109.56	107.09	105.27	105.61	97.03	106.46	98.42	120.43	116.2	126.55	122.08
CKB	107.55	89.16	107.9	100.11	95.61	98.47	91.2	216.13	234.87	231.8	229.01	213.66	235.32	207.19	240.64	821.14	696.41	778.11	691.12
CPE	140.8	123.92	122.59	129.66	204.91	231.45	227.34	353.63	342.2	334.41	347.52	716.91	714.65	633.4	623.06	537.72	568.11	595.07	567.55
CRIP2	342.91	274.22	318.1	322.25	315.57	262.38	295.44	665.94	692.4	657.57	596.04	811.02	833.13	875.46	635.47	2741.13	2279.14	2258.56	2227.19
CRYAB	165.06	192.32	122.01	133.5	367.09	338.75	251.12	728.37	843.38	805.1	726.75	1875.59	1923.01	2183.39	1961.39	1087.39	962.06	950.86	891.85
CSE1L	593.14	643.13	617.13	623.42	638.49	608.85	565.62	259.73	231.86	229.58	245.7	294.03	278.79	263.66	246.83	165.24	166.32	166.01	168.91
CTSC	1934.13	2353.3	1538.03	1713.12	2007.54	1967.1	2503.88	672.82	606.01	678.55	597.91	985.68	965.11	965.11	898.87	771.43	739.68	725.9	757.97
CYP4F3	78.91	92.91	88.55	89.42	173.73	180.89	177.45	534.63	585.4	528.76	552.6	477.05	507.56	453.31	501.8	1149.9	1218.62	1261.84	1222.73
DAPK1	123.83	144.68	139.54	135.31	127.52	133.42	134.94	376.02	284.77	346.51	374.38	784.99	816.99	705.14	803.75	271.65	353.12	343.52	323.17
DCC1	2113.35	2254.39	2094.04	2195.32	1211.95	1379.02	1205.96	415.85	334.75	367.7	350.93	315.57	297.18	288.09	245.7	352.7	379.06	348.79	347.9
DCN	81.73	79.1	90.12	82.04	70.02	74.93	78.85	354.78	310.32	343.89	321.28	321.51	349.17	320.49	295.56	915.67	915.32	969.97	1022.43
DDEFL1	760.89	609.33	692.4	730.51	759.52	758.59	552.55	1940.59	1987.77	1965.09	1975.62	3192.99	2995.38	3209.33	3303.67	1629.43	1561.42	1800.31	1485.3
DDIT3	249.96	189.68	282.78	289.94	219.92	193	148.57	1176.97	1650.73	1878.04	1698.87	1218.32	1164.2	1215.19	1211.93	794.54	725.05	687.52	707.73
DDX39	7642.8	7635.63	7997.39	7886.49	6744.22	6943.33	7014.46	2245.32	2409.61	2620.73	2557.78	2862.89	2472.46	2352.44	2414.92	3557.36	3091.17	3265.83	2806.84
DEPDC1	858.15	885.18	842.43	854.48	782.08	852.97	768.75	421.66	362.89	425.53	451.1	266.52	274.27	236.76	247.54	251.19	305.09	266.07	275.81
DHFR	386.17	473.43	443.02	481.91	225.92	243.76	268.39	109.86	89.12	100.51	106.33	116.52	98.72	97.18	88.8	116.85	104.52	96.4	105.55
DKFZp762E1312	629.69	727.56	595.88	623.9	900.22	849.54	989.37	327.64	292.26	315.32	281.71	297.18	238.76	253.56	250.13	264.42	235.79	252.77	247.92
DLG7	2118.99	2307.24	1968.14	2028.56	2493.99	2327.93	1641.78	675.78	558.09	576.44	588.79	444.52	406.55	393.05	369.19	662.31	759.87	665.73	689.36
DNA2L	355.63	372.55	361.07	367.95	225.79	253.05	203.77	106.55	95.67	120.27	114.01	132.7	133.89	134.18	134.05	91.76	114.16	95.35	104.73
DNMT1	8283.88	8083.5	8163.96	8060.28	6563.74	6629.72	6596.69	3910.33	3336.29	3849.57	3433.74	2260.54	2293.94	2286.96	2534.79	1325.44	1377.11	1370.53	1389.9
DONSON	559.86	674.89	610.86	583.23	690.43	629.24	475.46	293.89	256.36	303.19	241.76	289.23	250.17	256.11	242.77	214.66	227.19	241	263.01
