NAME	control1	control2	control3	control4	CT10A1.A	CT10A2.A	CT10A.B	BRCA1.51	BRCA1.52	BRCA1.53	BRCA1.54	Rad51.41	Rad51.42	Rad51.43	Rad51.44	Brit.2A2	Brit.2B	Brit.2C	Brit.2D
NGFRAP1	482.4	503.1	466.07	455.72	505.65	494.11	412.79	911.99	1078.72	1076.16	965.11	1257.64	1552.6	1661.96	1512.71	1106.65	1011.98	1000.74	970.44
NUP205	3816.83	3554.93	3856.49	3939.35	2531.29	2743.36	2851.6	1465.45	1280.6	1370.03	1619.33	1417.71	1305.52	1453.41	1400.37	878.96	1197.05	1127.95	1064.07
OIP5	790.17	788.35	769.66	766.42	741.14	743.94	713.01	264.65	298.13	307.33	327.92	231.12	234.09	227.92	249.62	321.27	329.7	348.51	320.84
PAQR4	2947.91	2841.24	2728.02	3056.92	1898.59	1925.25	2030.64	1150.65	1004.14	904.34	960.77	641.53	628.77	654.07	524.83	865.69	762.78	857.09	752.17
PBK	5406.94	5445.84	5323.11	4858.33	3447.84	3352.39	2710.81	1842.45	1692.8	1671.55	1480.63	2063.92	1990.86	1838.48	1704.33	1036.1	1106.65	934.03	1115.01
PCNA	13250.49	16041.99	13200.94	12981.52	11724.55	13329.06	12168.71	4825.71	4220.29	4397.68	4587.44	7055.23	6771.83	6437.43	6089.85	3279.48	3634.39	3476.6	3936.83
PDSS1	948.33	992.66	1053.48	998.52	1004.93	975.72	560.31	351.68	358.82	338.2	333.04	426.88	385.78	353.87	358.57	225.92	242.15	203.27	227.77
PDXP	1279.56	1270.39	1404.05	1288.81	1182.35	1155.17	1097.41	488.63	539.54	562.63	546.62	561.59	572.3	591.45	536.72	380.16	293.54	348.38	285.62
PEX11G	193.31	178.85	205.23	206.78	270.22	268.23	275.42	608.55	805.86	732.77	723.62	578.14	578.6	737.33	655.14	619.67	485.8	466.79	459.96
PHLDA3	668.88	623.9	715.43	741.47	776.51	782.08	1157.31	1544.84	1659.63	1716.4	1630.33	1641.15	1577.5	1772.2	1668.1	1664.09	1712.78	1702.48	1774.82
PKMYT1	762.62	827.17	788.8	791.68	811.8	721.36	755.04	407.65	318.43	409.16	340.65	261.94	200.25	157.52	213.96	261.1	250.52	234.5	270.9
PLCD1	128.85	121.64	136.01	143.32	263.59	224.17	205.98	489.58	575.06	573.78	531.63	511.32	476.94	532.78	502.02	467.55	467.82	490.07	472.67
PLEK2	1707.64	2057.25	1794.69	1523.73	2001.4	1929.37	3214.4	898.58	669.8	786.97	782.63	291.32	316.6	278.06	236.66	529.89	521.4	494.74	518.06
PLK4	1248.03	1497.75	1224.05	1198.49	1172.33	992.72	682.26	579.14	434.29	515.68	459.13	317.02	287.57	277.23	297.03	234.05	260.72	238.72	250.04
POLA2	1204.81	1075.36	960.14	834.38	1083.32	1026.47	1065.54	318.1	324.37	340.35	348.19	275.19	227.03	251.28	227.12	319.02	278.04	264.85	258.1
POLD1	1016.47	1008.81	1151.91	1091.71	991.71	985.12	1165.64	345.68	264.17	314.21	279.3	334.25	321.35	310.48	367.95	501.93	474.8	513.77	485.48
POLE2	1014.54	1091.71	909.5	928.92	802.63	774.8	453.18	194.42	139.16	176.44	168.23	132.39	129.35	126.76	123.1	194.51	169.79	184.24	182.69
POLQ	738.75	868.05	694.71	746.83	591.59	634.38	659.84	229.47	237.56	232.89	232.75	222.77	215.14	192.95	201.47	146.91	171.92	172.8	173.84
POLR3K	1321.49	1622.59	1521.52	1495.57	1146.77	1215.45	1059.99	572.3	568.75	581.64	542.71	362.52	411.57	457.78	417.62	297.78	272.16	289.5	304.83
PPIL5	2413.67	2423.3	2431.44	2622.47	2041.53	2082.24	1979.82	1154.97	1013.9	1060.93	1030.61	729.86	759.9	792.24	679.43	459.96	471.06	469.6	500.35
PPL	534.29	456.53	619.71	608.55	887.94	847.19	472.18	3343.39	2977.16	3145.55	3289.04	2399.24	2662.25	2609.39	2965.99	3299.03	3887.32	4039.95	3766.15
PRC1	3933.39	4388.07	3981.84	3752.22	5046.72	4734.11	3951.2	1597.62	1363.28	1548.04	1498.85	1162.56	1143.24	1173.71	1281.06	1926.47	2120.42	2190.89	2115.31
PROS1	318.49	322.59	326.69	330.35	463.38	458.42	550.44	1428.59	1437.87	1312.61	1444.39	3038.7	3132.38	3003.59	2766.72	3167.58	3468.12	3132.62	3279.48
PRPF38A	619.71	557.55	571.22	530.04	583.55	522.85	452	315.92	256.51	246.39	257.03	282.28	247.84	255.13	258.28	222.66	239.43	204.31	228.85
RAD54B	554.9	660.67	499.79	505.78	440.45	430.08	246.93	203.24	163.55	179.65	155.29	229.96	181.7	210.96	202.12	174.39	213.28	204.04	190.39
RAD54L	655.31	752.34	715.66	707.58	593.62	579.25	645.6	173.18	144.25	167.83	171.38	161.17	137.6	132.39	137.83	179.97	218.16	193.67	191.08
RECQL4	286.92	253.84	222.18	248.73	258.95	241.27	271.9	113.68	118.51	110.33	94.33	109.14	97.59	102.57	105.18	101.56	110.93	119.99	109.06
RFC3	958.53	974.61	833.46	843.03	700.77	760.51	651.25	354.51	308.74	328.28	311.95	237.88	251.28	240.17	208.52	199.78	189.23	199.27	200.44
RFC4	3539.95	3572.11	3433.74	3407.01	2344.84	2430.33	2307.95	1486.16	1442.62	1409.69	1391.52	1215.19	1195.38	1128.17	993.68	1003.72	1057.93	980.45	1072.67
RFC5	2029.57	2228.15	1840.12	1779.12	1899.77	2036.3	1765.79	583.23	546.62	530.2	578.6	557	552.75	532.22	505.02	820.79	746.56	772.4	721.67
RIOK3	2002	1756.14	2297.53	2361.42	2021.86	1942.1	1883.12	6975.53	5889.53	7071.93	7141.76	4370.52	4350.61	3849.57	4207.37	5132.01	5170.67	5279.55	5657.5
RNASEH2A	1026.08	911.99	910.55	986.44	1236.04	1123.08	1003.72	419.55	415.5	475.73	392.02	303.74	319.65	309.22	275.13	516.97	457.35	466.45	463.25
RRAGD	86.1	82.79	93.66	85.27	93.36	90.33	116.52	235.09	234.62	246.33	255.72	298.49	259.4	284.66	275.54	988.08	958.25	1002.17	950.06
RRM2	1146.96	1378.71	1174.08	1230.9	907.05	828.51	377.58	385.78	222.77	297.82	276.21	209.56	171.2	165.5	167.92	157.44	172.46	169.85	173.37
SDCBP2	732	659.78	714.18	683.99	902.65	907.85	1412.87	4165.02	4542.62	4169.99	4195	2200.67	2221.01	2380.94	2240.42	2117.87	2020.35	2207.76	2110.71
SERTAD4	824.05	798.71	838.24	803.96	500.49	528.29	533.51	130.31	126.62	117.28	128.03	132.28	129.4	137.6	133.78	163.57	188.17	196.72	205.93
SFPQ	2985.17	2531.3	2470.99	2496.12	1738.04	2264.06	2146.12	1180.19	1142.79	1123.81	1125.1	1074.16	1093.16	1150.65	1052.74	955.79	1081.81	1008.57	1134.03
SFRS2	11023.55	11683.7	10613.94	10105.89	10760.98	11251.25	9706.57	4664.21	4314.7	3951.36	3839.4	4804.12	4582.85	4545.76	4314.7	3238.07	3476.6	3382.73	3485.94
SHCBP1	584.6	617.97	482.55	517.12	315.86	390.91	362.16	224.37	225.07	193.91	229.91	166.09	161.06	119.81	140.64	111.71	123.31	135.43	139.05
SIDT2	729.54	662.35	704.8	750.13	596.49	606.43	626.18	1267.07	1481.57	1441.4	1453.88	1587.47	1733.82	1723.76	1897.82	2235.87	2396.38	2311.52	2497.15
SLC25A10	1456.45	1443.83	1389.95	1327.91	727.74	767.71	785.42	423.73	403.62	425.86	402.23	520.25	461.65	459.4	425.86	481.75	389.15	443.84	427.28
SLC25A13	1650.73	1627.12	1413.96	1513.61	821.42	928.46	897.56	406.55	377.13	400.77	461.54	424.58	393.05	400.39	391.69	399.4	409.35	355.46	379.76
SLC45A3	338.14	339.85	310.4	340.19	198.43	197.88	223.18	96.27	79.86	95.99	88.62	62.11	71.22	65.91	81.11	92.84	98.25	97.7	97.86
SPC25	728.91	726.75	615.28	585.24	568.86	545.45	444.66	141.29	140.24	137.08	144.25	116.93	112.4	122.03	110.05	154.16	155.6	157.44	149.01
SRPK2	290.31	273.43	247.62	294.47	333.91	292.86	198.33	1102.93	1550.77	1578.58	1643.6	2187.6	2261.53	2294.85	2255.73	719.92	579.25	585.65	607.27
ST6GALNAC2	173.6	176.05	170.43	186.01	180.76	188.74	217.08	486.55	402.48	393.81	398.17	974.39	966.94	965.42	966.94	693.2	760.85	699.95	648.35
STAT2	582.5	612.77	559.21	543.42	989.37	894.1	1381.54	2569.03	3152.55	2652.37	2567.52	2697.33	2664.43	2562.61	2635.57	3195.94	3245.37	3125.96	2780.33
SUV39H1	1395.54	1316.39	1272.36	1252.58	1253.66	1244.58	931.99	510.71	526.33	510.43	548.5	411.57	397.76	390.86	375.44	545.92	506.97	558.14	529.28
TACC3	965.11	959.95	1036.52	953.02	1411.81	1293.94	1647.45	459.13	468.05	492.18	510.13	323.71	313.04	280.73	347.52	465.23	502.75	470.21	482.56
TAF5	416.94	404.47	388.77	406.42	416.42	388.34	313.99	188.7	148.83	156.65	171.01	151.59	154.86	127.71	155.46	173.78	193.36	173.47	208.45
TERF1	477.44	368.82	421.36	424.76	587.68	603.22	554.65	1550.77	1759.65	1673.66	1857.57	1315.85	1273.79	1263.56	1203.84	1055.42	994.98	907.05	954.43
TIGA1	2282.18	2130.6	2565.98	2624.34	2334.27	2466.43	3295.88	8697.58	8248	8711.06	8315.32	7733.63	8769.02	10338.92	10145.6	11483.86	10935.29	10697.7	10409.04
TIMELESS	1474.38	1534.1	1350.95	1482.92	1517.72	1388.57	1134.97	707.33	568.22	634.13	646.32	447.24	456.95	448.44	491.93	435.69	458.42	465.41	421.57
TINF2	661.27	810.78	542.71	586.47	1095.59	1006.91	728.63	2116.14	2138.71	2021.55	2125.38	1865.52	2024.81	1658.74	1471.38	2071.33	1835.27	1914.57	1792.46
TK1	2053	1988.79	2252.72	1977.78	2361.66	2110.71	2152.08	836.99	667.82	727.56	682.91	461.9	433.24	410.19	394.79	903.82	730.17	732.68	760.51
TMC4	136.91	123.07	130.34	129.29	157.36	177.35	182.43	577.45	681.31	611.76	634.33	452.42	407.55	419.34	405.83	657.59	586.85	593.88	543.67
TMEM158	887.34	907.29	772.66	802.04	729.91	776.51	1997.29	329.04	404.38	372.66	354.43	338.14	385.89	379.51	339.72	209.16	176.02	187.95	191.38
TMEM171	215.54	245.7	194.42	179.28	240.76	233.62	346.46	114.43	96.26	104.98	97.66	88.16	80.37	78.84	86.36	90.55	99.99	90.38	95.09
TMEM20	499.53	467.42	459.71	410.25	462.93	476.19	349.44	200.46	195.4	195.04	188.02	188.23	198.67	191.26	181.31	162.79	143.48	145.78	153.46
TNFRSF14	229.96	227.08	243.8	250.38	151.41	169.85	414.63	515.84	644.23	559.21	532.5	650.94	603.31	639.03	565.06	576.26	504.93	497.47	482.4
TRIP13	2653.93	2802.8	2374.1	2597.12	2473.73	2519.48	2255.62	899.02	793.62	913.27	907.86	555.65	554.02	517.72	517.83	633.63	624.02	640.75	668.28
TTK	1818.42	2062.88	1887.24	1842.45	1537.69	1488.92	1401.91	790.89	671.23	647.01	824.55	509.76	452.16	439.46	444.25	519.42	574.79	526.61	515.85
TUBA4A	5473.38	5194.92	3829.9	4242.17	3631.25	4779.78	6650.21	1743.34	2180.97	2052.39	1985.98	1890.07	1836.99	1874.86	1979.27	1464.2	1332.41	1469.1	1522.26
TUBB2C	7332.62	7923.52	8015.58	6529.07	10963.85	10669.54	11643.63	3252.41	3384.98	3664.91	3377.22	2959.98	2735.98	2504.99	2982.96	2747.04	2416.17	2416.17	2401.32
TUBB4Q	953.24	1007.98	777.35	751.32	999.67	1252.45	1564.8	432.79	418	471.58	445.03	324.13	355.22	332.97	334.49	319.27	272.33	303.62	336.68
TXNIP	3642.46	2790.97	3597.28	3581.92	4125.64	4055.85	1655.29	24387.41	26688.05	25346.19	25941.27	26947.16	25840.33	24138.26	21034.31	23670.91	24713.49	24648.66	23596.67
TYMS	2630.45	3328.94	2711.44	2655.06	3216.74	3622.41	2939.68	991.01	794.24	1002.17	913.27	1093.52	1032.9	960.14	1000.86	1170.58	1122.58	1131.24	1290.55
UHRF1	3814.4	4156.37	3614.45	3763.89	4388.16	4365.62	4139.87	1001.53	788.8	946.88	941.8	758.88	643.76	666.04	670	646.62	731.75	720.75	749.21
VAMP5	207.11	195.81	205.82	220.87	146.99	147.64	144.39	371.12	412.37	403.27	376.1	444.4	462.34	498.58	485.31	470.77	411.14	412.04	400.68
VRK1	1458.19	1736.55	1419.29	1454.72	1805.26	1977.77	1374.22	675.26	641.87	680.61	722.09	536.13	541.17	444.25	490.26	528.45	552.16	528.68	562.77
WDHD1	242.77	289.82	257.27	231.86	268.32	251.83	184.98	119.41	97.97	109.2	121.34	127.09	118	126.55	116.39	113.26	114.27	118.07	122.82
WDR79	536.93	483.49	492.58	488.37	418.55	441.63	515.61	168.08	177.68	186.98	170.5	177.57	188.7	168.1	174.75	227.85	191.84	218.68	186.9
WIPI1	268.24	274.5	272.49	242.29	284.2	273.66	373.78	856.13	857.79	775.84	757.04	807.39	910.87	865.78	844.11	590.95	614.66	598.98	627.59
XPC	1040.28	910.27	1013.37	985.68	1190.48	1158.76	1450.35	2337.6	2284.63	2269.16	2504.99	3250.23	3411.8	3017.85	3490.39	2068.63	2782.06	3012.64	2686.11
YPEL5	1044.52	1064.48	1125.43	1085.59	1063.1	980.07	1702.48	2664.43	2187.6	2225.25	2387.78	3411.8	3395.29	3324.11	2945.79	3382.73	4010.26	3951.2	3974.6
ZBTB43	568.03	561.13	588.1	539.67	735.96	711.43	952.49	1434.93	1397.48	1263.56	1423.19	2135.97	2084.4	2089.36	2076.32	1796.51	1741.59	1796.51	1898.59
ZNF467	131.93	126.55	122.33	126.67	75.9	77.53	91.08	222.89	273.69	248.53	260.14	246.39	247.48	258.61	233.08	1350.35	925.5	993.64	934.03
